rank,source,n,cumulative_pct
127,international journal of energy sector management,1,80.6647
128,international journal of engineering business management,1,80.9668
129,international journal of enterprise information systems,1,81.2689
130,international journal of environmental science and technology,1,81.5710
131,international journal of renewable energy development,1,81.8731
132,international journal of smart grid and clean energy,1,82.1752
133,international journal of sustainable transportation,1,82.4773
134,"international journal on advanced science, engineering and information technology",1,82.7795
135,international journal on interactive design and manufacturing,1,83.0816
136,international journal on technical and physical problems of engineering,1,83.3837
137,"international multidisciplinary scientific geoconference surveying geology and mining ecology management, sgem",1,83.6858
138,iop conference series: materials science and engineering,1,83.9879
139,journal of air transport management,1,84.2900
140,journal of applied research on industrial engineering,1,84.5921
141,journal of engineering and technology for industrial applications,1,84.8943
142,journal of environmental engineering (japan),1,85.1964
143,journal of environmental management,1,85.4985
144,journal of facilities management,1,85.8006
145,journal of industrial ecology,1,86.1027
146,journal of mechanical engineering,1,86.4048
147,journal of renewable energy and smart grid technology,1,86.7069
148,journal of thermal engineering,1,87.0091
149,jurnal teknologi,1,87.3112
150,key engineering materials,1,87.6133
151,lecture notes in electrical engineering,1,87.9154
152,"linked data in architecture and construction 2025, ldac 2025",1,88.2175
153,management and marketing,1,88.5196
154,management and production engineering review,1,88.8218
155,mathematical problems in engineering,1,89.1239
156,metallurgist,1,89.4260
157,methodsx,1,89.7281
158,microsystem technologies,1,90.0302
159,"minerals, metals and materials series",1,90.3323
160,"mining, metallurgy and exploration",1,90.6344
161,pakistan journal of engineering and applied sciences,1,90.9366
162,"picmet 2018 - portland international conference on management of engineering and technology: managing technological entrepreneurship: the engine for economic growth, proceedings",1,91.2387
163,problems of the regional energetics,1,91.5408
164,procedia computer science,1,91.8429
165,procedia manufacturing,1,92.1450
166,"proceedings - 2013 ieee 3rd international conference on cloud and green computing, cgc 2013 and 2013 ieee 3rd international conference on social computing and its applications, sca 2013",1,92.4471
167,"proceedings - 2014 12th ieee international conference on industrial informatics, indin 2014",1,92.7492
168,"proceedings of 2019 7th international renewable and sustainable energy conference, irsec 2019",1,93.0514
169,"proceedings of 2019 international conference on energy and environment, ciem 2019",1,93.3535
170,"proceedings of 2021 10th international conference on energy and environment, ciem 2021",1,93.6556
171,"proceedings of 2021 9th international conference on modern power systems, mps 2021",1,93.9577
172,proceedings of bs 2013: 13th conference of the international building performance simulation association,1,94.2598
173,"proceedings of the 2018 federated conference on computer science and information systems, fedcsis 2018",1,94.5619
174,"proceedings of the 25th ieee international conference on problems of automated electric drive. theory and practice, paep 2020",1,94.8640
175,proceedings of the estonian academy of sciences,1,95.1662
176,proceedings of the international conference on industrial engineering and operations management,1,95.4683
177,quality innovation prosperity,1,95.7704
178,rem - international engineering journal.,1,96.0725
179,renewable energy,1,96.3746
180,renewable energy and power quality journal,1,96.6767
181,resources,1,96.9789
182,results in control and optimization,1,97.2810
183,rocznik ochrona srodowiska,1,97.5831
184,sae international journal of materials and manufacturing,1,97.8852
185,sae technical papers,1,98.1873
186,"society of petroleum engineers - 9th international conference on health, safety and environment in oil and gas exploration and production 2008 - ""in search of sustainable excellence""",1,98.4894
187,society of petroleum engineers - carbon management technology conference 2012,1,98.7915
188,society of petroleum engineers - spe artificial lift conference and exhibition - americas 2018,1,99.0937
189,solar energy,1,99.3958
190,transactions on energy systems and engineering applications,1,99.6979
191,water science and technology,1,100.0000
